iter	Passed	Remaining
0	44	44153
1	88	43940
2	128	42811
3	170	42554
4	208	41396
5	244	40500
6	279	39613
7	314	39044
8	350	38596
9	392	38891
10	428	38552
11	470	38774
12	520	39485
13	558	39340
14	598	39291
15	603	37120
16	640	37040
17	676	36925
18	713	36815
19	749	36710
20	789	36792
21	828	36820
22	865	36748
23	902	36706
24	939	36659
25	978	36667
26	1016	36638
27	1056	36675
28	1099	36808
29	1145	37037
30	1183	36987
31	1220	36908
32	1257	36860
33	1301	36964
34	1342	37003
35	1382	37027
36	1422	37011
37	1465	37102
38	1502	37020
39	1540	36963
40	1580	36973
41	1619	36945
42	1658	36912
43	1694	36821
44	1731	36751
45	1766	36639
46	1803	36573
47	1843	36571
48	1880	36492
49	1918	36447
50	1956	36402
51	1991	36298
52	2025	36189
53	2060	36088
54	2094	35982
55	2129	35897
56	2166	35835
57	2208	35874
58	2245	35811
59	2281	35747
60	2322	35756
61	2357	35668
62	2399	35688
63	2436	35635
64	2475	35607
65	2513	35569
66	2547	35479
67	2588	35476
68	2625	35425
69	2667	35433
70	2701	35348
71	2736	35264
72	2772	35205
73	2811	35186
74	2850	35153
75	2889	35128
76	2909	34875
77	2945	34811
78	2984	34799
79	3019	34729
80	3056	34675
81	3092	34621
82	3130	34587
83	3166	34534
84	3201	34462
85	3235	34383
86	3271	34331
87	3306	34266
88	3340	34191
89	3375	34133
90	3411	34075
91	3447	34022
92	3487	34012
93	3526	33987
94	3562	33939
95	3598	33884
96	3635	33840
97	3670	33782
98	3707	33737
99	3744	33697
100	3781	33657
101	3816	33601
102	3853	33561
103	3890	33515
104	3925	33460
105	3963	33430
106	3999	33375
107	4034	33321
108	4076	33318
109	4111	33269
110	4149	33232
111	4199	33293
112	4235	33247
113	4276	33233
114	4310	33172
115	4344	33107
116	4347	32810
117	4385	32778
118	4420	32724
119	4454	32667
120	4489	32615
121	4523	32557
122	4558	32505
123	4594	32455
124	4629	32403
125	4668	32385
126	4705	32343
127	4740	32295
128	4781	32287
129	4825	32294
130	4861	32248
131	4898	32209
132	4936	32182
133	4972	32135
134	5007	32087
135	5045	32051
136	5082	32013
137	5120	31986
138	5157	31949
139	5195	31914
140	5232	31879
141	5270	31842
142	5307	31806
143	5344	31772
144	5387	31767
145	5424	31730
146	5461	31694
147	5502	31679
148	5538	31634
149	5578	31609
150	5612	31557
151	5648	31512
152	5682	31459
153	5718	31415
154	5753	31365
155	5787	31314
156	5823	31268
157	5857	31217
158	5891	31164
159	5927	31118
160	5962	31072
161	5996	31017
162	6030	30967
163	6067	30929
164	6103	30886
165	6139	30844
166	6178	30819
167	6214	30774
168	6249	30730
169	6288	30701
170	6323	30655
171	6361	30622
172	6396	30579
173	6437	30559
174	6474	30521
175	6515	30504
176	6550	30459
177	6589	30430
178	6628	30400
179	6673	30400
180	6710	30365
181	6751	30344
182	6797	30346
183	6840	30336
184	6922	30495
185	6975	30525
186	7018	30515
187	7064	30512
188	7102	30475
189	7139	30435
190	7178	30403
191	7219	30381
192	7261	30363
193	7305	30353
194	7342	30311
195	7377	30263
196	7412	30213
197	7447	30165
198	7481	30114
199	7517	30070
200	7555	30032
201	7595	30004
202	7630	29959
203	7667	29919
204	7711	29905
205	7745	29855
206	7780	29807
207	7815	29758
208	7850	29711
209	7886	29669
210	7925	29636
211	7963	29601
212	8001	29563
213	8038	29523
214	8072	29473
215	8109	29435
216	8147	29397
217	8183	29354
218	8218	29308
219	8253	29263
220	8289	29220
221	8328	29187
222	8368	29160
223	8406	29121
224	8441	29075
225	8477	29034
226	8519	29012
227	8560	28985
228	8597	28947
229	8636	28914
230	8673	28875
231	8716	28854
232	8752	28813
233	8796	28796
234	8836	28767
235	8873	28725
236	8909	28682
237	8943	28635
238	8986	28613
239	9022	28570
240	9060	28533
241	9100	28506
242	9136	28462
243	9173	28421
244	9214	28395
245	9249	28350
246	9285	28308
247	9324	28274
248	9362	28236
249	9396	28188
250	9430	28140
251	9465	28096
252	9504	28063
253	9550	28051
254	9587	28011
255	9627	27979
256	9663	27938
257	9704	27908
258	9743	27876
259	9792	27871
260	9862	27923
261	9910	27916
262	9951	27887
263	9995	27865
264	10035	27834
265	10073	27797
266	10115	27768
267	10158	27747
268	10203	27728
269	10254	27724
270	10325	27775
271	10407	27856
272	10483	27917
273	10563	27989
274	10622	28004
275	10677	28008
276	10743	28042
277	10803	28059
278	10863	28073
279	10914	28065
280	10965	28057
281	11022	28065
282	11090	28098
283	11150	28110
284	11193	28081
285	11256	28102
286	11310	28099
287	11348	28055
288	11391	28025
289	11428	27980
290	11473	27953
291	11537	27975
292	11593	27974
293	11640	27952
294	11681	27915
295	11724	27884
296	11764	27847
297	11802	27802
298	11842	27764
299	11879	27719
300	11922	27687
301	11963	27650
302	12006	27618
303	12041	27569
304	12084	27536
305	12120	27488
306	12162	27454
307	12200	27412
308	12238	27368
309	12278	27329
310	12313	27280
311	12354	27242
312	12392	27200
313	12433	27164
314	12472	27123
315	12509	27076
316	12548	27037
317	12586	26993
318	12628	26959
319	12667	26918
320	12704	26873
321	12743	26832
322	12783	26794
323	12818	26745
324	12861	26711
325	12901	26674
326	12939	26630
327	12979	26591
328	13018	26551
329	13055	26506
330	13095	26467
331	13138	26435
332	13178	26395
333	13228	26378
334	13277	26357
335	13320	26323
336	13358	26280
337	13402	26250
338	13441	26208
339	13478	26164
340	13522	26133
341	13562	26093
342	13604	26058
343	13644	26019
344	13688	25988
345	13727	25947
346	13772	25918
347	13813	25879
348	13858	25849
349	13898	25811
350	13939	25773
351	13980	25737
352	14020	25697
353	14058	25654
354	14097	25613
355	14136	25572
356	14184	25547
357	14221	25504
358	14258	25459
359	14302	25427
360	14341	25384
361	14381	25345
362	14427	25317
363	14465	25274
364	14506	25236
365	14542	25191
366	14582	25152
367	14620	25108
368	14661	25071
369	14701	25031
370	14737	24986
371	14781	24954
372	14818	24908
373	14859	24872
374	14896	24828
375	14936	24788
376	14973	24744
377	15015	24707
378	15052	24663
379	15101	24639
380	15168	24643
381	15206	24600
382	15255	24575
383	15291	24530
384	15333	24493
385	15370	24448
386	15410	24410
387	15447	24366
388	15485	24322
389	15525	24283
390	15564	24242
391	15608	24209
392	15644	24163
393	15680	24118
394	15719	24076
395	15755	24031
396	15798	23996
397	15837	23954
398	15878	23916
399	15914	23871
400	15949	23825
401	15990	23787
402	16029	23745
403	16069	23707
404	16108	23665
405	16145	23621
406	16184	23580
407	16220	23535
408	16259	23494
409	16300	23456
410	16337	23413
411	16374	23368
412	16414	23329
413	16451	23286
414	16499	23258
415	16539	23218
416	16580	23180
417	16620	23141
418	16665	23108
419	16709	23075
420	16762	23052
421	16800	23010
422	16845	22978
423	16884	22937
424	16928	22903
425	16968	22863
426	17011	22828
427	17052	22789
428	17095	22754
429	17136	22716
430	17178	22678
431	17229	22652
432	17277	22624
433	17347	22623
434	17392	22590
435	17442	22563
436	17478	22518
437	17521	22481
438	17559	22439
